Anomali_242,((476.0, 282.5), (426.5, 396.5))
Anomali_243,((426.5, 396.5), (679.0, 360.0))
Anomali_244,((679.0, 360.0), (436.0, 205.0))
Anomali_245,((436.0, 205.0), (312.0, 190.5))
Anomali_246,((312.0, 190.5), (682.0, 193.5))
Anomali_247,((682.0, 193.5), (741.0, 110.0))
Anomali_248,((741.0, 110.0), (608.5, 81.0))
Anomali_249,((608.5, 81.0), (667.5, 220.5))
Anomali_250,((667.5, 220.5), (835.0, 385.0))
Anomali_251,((835.0, 385.0), (447.0, 413.0))
Anomali_252,((447.0, 413.0), (358.0, 311.5))
Anomali_253,((358.0, 311.5), (619.5, 290.0))
Anomali_254,((619.5, 290.0), (473.0, 372.5))
Anomali_255,((473.0, 372.5), (255.5, 322.0))
Anomali_256,((255.5, 322.0), (230.0, 217.5))
Anomali_257,((230.0, 217.5), (527.5, 209.0))
Anomali_258,((527.5, 209.0), (765.0, 183.0))
Anomali_259,((765.0, 183.0), (824.0, 99.5))
Anomali_260,((758.0, 123.5), (516.5, 69.5))
Anomali_261,((516.5, 69.5), (228.0, 108.0))
Anomali_262,((228.0, 108.0), (359.5, 258.5))
Anomali_263,((359.5, 258.5), (358.0, 380.5))
Anomali_264,((358.0, 380.5), (161.5, 355.0))
Anomali_265,((161.5, 355.0), (399.0, 329.0))
Anomali_266,((399.0, 329.0), (722.5, 202.5))
Anomali_267,((719.5, 223.0), (345.0, 362.5))
Anomali_268,((345.0, 362.5), (89.5, 198.0))
Anomali_269,((89.5, 198.0), (195.5, 243.5))
Anomali_270,((195.5, 243.5), (434.5, 318.5))
Anomali_271,((434.5, 318.5), (348.5, 196.5))
Anomali_272,((348.5, 196.5), (190.0, 285.0))
Anomali_273,((190.0, 285.0), (427.0, 259.0))
Anomali_274,((427.0, 259.0), (472.5, 65.0))
Anomali_275,((472.5, 65.0), (364.0, 40.0))
Anomali_276,((364.0, 40.0), (207.0, 229.5))
Anomali_277,((207.0, 229.5), (373.5, 293.0))
Anomali_278,((373.5, 293.0), (671.0, 284.5))
Anomali_279,((671.0, 284.5), (730.0, 201.0))
Anomali_280,((730.0, 201.0), (597.5, 172.0))
Anomali_281,((597.5, 172.0), (256.0, 330.0))
Anomali_282,((256.0, 330.0), (108.0, 312.0))
Anomali_283,((108.0, 312.0), (167.0, 228.5))
Anomali_284,((167.0, 228.5), (419.5, 191.5))
Anomali_285,((480.0, 209.0), (248.5, 270.5))
Anomali_286,((248.5, 270.5), (211.0, 378.5))
Anomali_287,((211.0, 378.5), (355.0, 316.5))
Anomali_288,((355.0, 316.5), (281.0, 204.0))
Anomali_289,((217.5, 207.5), (541.0, 304.0))
Anomali_290,((541.0, 304.0), (408.0, 274.5))
Anomali_291,((408.0, 274.5), (104.5, 101.5))
Anomali_292,((104.5, 101.5), (272.5, 43.5))
Anomali_293,((342.0, 76.0), (192.5, 179.5))
Anomali_294,((192.5, 179.5), (203.0, 311.0))
Anomali_295,((203.0, 311.0), (479.5, 278.0))
Anomali_296,((375.5, 187.5), (519.0, 125.5))
Anomali_297,((562.0, 174.5), (667.5, 220.5))
Anomali_298,((667.5, 220.5), (447.0, 191.0))
Anomali_299,((447.0, 191.0), (190.5, 147.5))
Anomali_300,((190.5, 147.5), (334.5, 308.0))
Anomali_301,((334.5, 308.0), (563.0, 267.5))
